"SE","tweets","APS","casos","estacao","temp.mean","temp.sd","temp.min","temp.max","umid.mean","umid.sd","umid.min","umid.max"
201330,57,"AP2.2",5,"galeao",19.87,1.74,17.4285714285714,22.8571428571429,77.9528571428571,9.55285714285714,60.2857142857143,90.7142857142857
201331,148,"AP2.2",4,"galeao",20.1928571428571,3.77,15.1428571428571,26.8571428571429,74.3542857142857,16.58,42.8571428571429,94
201332,155,"AP2.2",4,"galeao",22.98,3.49857142857143,18.4285714285714,29.1428571428571,71.8257142857143,16.0357142857143,42.8571428571429,90.5714285714286
201333,71,"AP2.2",1,"galeao",20.4185714285714,2.20571428571429,17.4285714285714,24.2857142857143,73.4757142857143,11.32,52,88.2857142857143
201334,97,"AP2.2",0,"galeao",22.3542857142857,3.14714285714286,18.1428571428571,27.4285714285714,70.51,14.2228571428571,47.2857142857143,90.7142857142857
201335,63,"AP2.2",0,"galeao",20.9071428571429,2.58714285714286,17,25.5714285714286,71.2685714285714,12.5642857142857,48.5714285714286,89.8571428571429
201336,55,"AP2.2",1,"galeao",22.2885714285714,2.97571428571429,18.1428571428571,27.2857142857143,71.5157142857143,14.2028571428571,47.5714285714286,89.7142857142857
201337,46,"AP2.2",2,"galeao",23.8214285714286,3.69714285714286,18.4285714285714,29.8571428571429,66.7671428571429,16.8814285714286,38,89
201338,115,"AP2.2",2,"galeao",25.64,3.38,21.1428571428571,31.2857142857143,69.3742857142857,15.8942857142857,43.8571428571429,90.7142857142857
201339,45,"AP2.2",4,"galeao",22.2314285714286,2.01714285714286,19.2857142857143,25.8571428571429,68.9828571428571,11.3985714285714,50.5714285714286,86.8571428571429
201340,56,"AP2.2",1,"galeao",23.1514285714286,1.60857142857143,20.5714285714286,26,76.7457142857143,9.84714285714286,59.5714285714286,91.5714285714286
201341,53,"AP2.2",2,"galeao",21.1185714285714,2.58571428571429,17.1428571428571,25.1428571428571,64.6485714285714,12.6971428571429,44.2857142857143,83.4285714285714
201342,57,"AP2.2",3,"galeao",23.9014285714286,2.45428571428571,20.4285714285714,28,71.2542857142857,11.1357142857143,52.8571428571429,87
